time,batch_id,event,req_id,decode_position,memory_change,gpu_memory_after
0.0920,0,arrival,0,0,0,20
0.3472,20,completion,0,0,0,0
0.6822,20,arrival,1,0,0,20
0.9374,40,completion,1,0,0,0
0.9404,40,arrival,2,0,0,20
1.1198,55,arrival,3,0,0,35
1.1559,57,arrival,4,0,0,58
1.2076,59,arrival,5,0,0,83
1.2076,59,arrival,6,0,0,83
1.2382,60,completion,2,0,0,86
1.6138,70,arrival,7,0,0,126
1.8210,74,arrival,8,0,0,165
1.9441,76,completion,3,0,0,156
2.0547,78,completion,4,0,0,126
2.0547,78,arrival,9,0,0,126
2.0547,78,arrival,10,0,0,126
2.1586,80,completion,5,0,0,96
2.1586,80,completion,6,0,0,96
2.6140,91,completion,7,0,0,100
2.7248,94,arrival,11,0,0,109
2.7636,95,completion,8,0,0,92
2.9030,99,completion,9,0,0,24
2.9030,99,completion,10,0,0,24
3.0561,111,arrival,12,0,0,36
3.1154,114,arrival,13,0,0,61
3.1385,115,completion,11,0,0,43
3.1559,116,arrival,14,0,0,45
3.1994,118,arrival,15,0,0,70
3.2598,120,arrival,16,0,0,97
3.4298,124,arrival,17,0,0,136
3.5344,126,arrival,18,0,0,167
3.5928,127,arrival,19,0,0,193
3.8142,130,arrival,20,0,0,236
3.8142,130,arrival,21,0,0,236
3.8953,131,arrival,22,0,0,284
3.9924,132,completion,12,0,0,274
3.9924,132,arrival,23,0,0,274
4.0863,133,arrival,24,0,0,304
4.3041,135,completion,13,0,0,307
4.4089,136,arrival,25,0,0,318
4.5172,137,completion,14,0,0,309
4.5172,137,arrival,26,0,0,309
4.6226,138,arrival,27,0,0,340
4.7382,139,completion,15,0,0,332
4.7382,139,arrival,28,0,0,332
4.8513,140,arrival,29,0,0,364
4.9749,141,completion,16,0,0,357
4.9749,141,arrival,30,0,0,357
4.9749,141,arrival,31,0,0,357
4.9749,141,arrival,32,0,0,357
5.5488,145,completion,17,0,0,438
5.6968,146,arrival,33,0,0,453
5.8496,147,completion,18,0,0,448
6.0007,148,completion,19,0,0,423
6.2909,150,arrival,34,0,0,451
6.4427,151,completion,20,0,0,405
6.4427,151,completion,21,0,0,405
6.5794,152,completion,22,0,0,378
6.5794,152,arrival,35,0,0,378
6.7072,153,completion,23,0,0,370
6.7072,153,arrival,36,0,0,370
6.7072,153,arrival,37,0,0,370
6.8325,154,completion,24,0,0,382
6.9619,155,arrival,38,0,0,395
7.0954,156,arrival,39,0,0,428
7.0954,156,arrival,40,0,0,428
7.2399,157,completion,25,0,0,442
7.2399,157,arrival,41,0,0,442
7.2399,157,arrival,42,0,0,442
7.3891,158,completion,26,0,0,457
7.5435,159,completion,27,0,0,433
7.6898,160,completion,28,0,0,408
7.6898,160,arrival,43,0,0,408
7.6898,160,arrival,44,0,0,408
7.8279,161,completion,29,0,0,422
7.9707,162,completion,30,0,0,317
7.9707,162,completion,31,0,0,317
7.9707,162,completion,32,0,0,317
7.9707,162,arrival,45,0,0,317
7.9707,162,arrival,46,0,0,317
8.2046,164,arrival,47,0,0,383
8.3346,165,arrival,48,0,0,417
8.3346,165,arrival,49,0,0,417
8.6353,167,completion,33,0,0,449
9.1061,170,arrival,50,0,0,497
9.2732,171,completion,34,0,0,493
9.2732,171,arrival,51,0,0,493
9.6168,173,completion,35,0,0,506
9.7869,174,completion,36,0,0,442
9.7869,174,completion,37,0,0,442
9.9358,175,arrival,52,0,0,456
10.0892,176,completion,38,0,0,450
10.2407,177,completion,39,0,0,384
10.2407,177,completion,40,0,0,384
10.3704,178,completion,41,0,0,316
10.3704,178,completion,42,0,0,316
10.3704,178,arrival,53,0,0,316
10.4777,179,arrival,54,0,0,346
10.7224,181,completion,43,0,0,309
10.7224,181,completion,44,0,0,309
10.9358,183,completion,45,0,0,249
10.9358,183,completion,46,0,0,249
11.0210,184,arrival,55,0,0,257
11.0210,184,arrival,56,0,0,257
11.0210,184,arrival,57,0,0,257
11.0210,184,arrival,58,0,0,257
11.1088,185,completion,47,0,0,305
11.1088,185,arrival,59,0,0,305
