time,position_0
1716.2721,0.07417582417582418
1719.4713,0.054521618588956045
1725.867,0.06032067424981126
1729.0598,0.033101752277594175
1732.2519,0.027516298622644354
1735.4453,0.028618205677029208
1741.7886,0.03744011011707371
1744.981,0.03605122122818483
1748.1757,0.031270364939719776
1751.3749,0.0581531187036218
1757.7588,0.06485469187675069
1760.9557,0.04892629300524037
1764.1562,0.051451545530492894
1783.1799,0.05686291663401155
1792.7518,0.02566991539339159
1795.9462,0.02277440039920137
1854.2899,0.018143878873436464
1870.0716,0.06666666666666667
1903.422,0.06994586296056883
1962.4682,0.07882296275153418
5767.171,0.056742166120391097
5770.366,0.06459417852331553
5773.5616,0.05661697054610755
5776.7569,0.031123524756692084
5783.1463,0.07076747802850744
5786.3406,0.046536796536796536
5789.5372,0.08372183372183373
5894.74,0.041391414044337584
5897.9338,0.05876025720065967
5901.1281,0.0378032153032153
6843.5018,0.07458791208791209
6987.1911,0.058823529411764705
6999.917,0.06459417852331553
7003.1094,0.041651131324150416
7006.3025,0.030998535593253423
7009.4975,0.0504966540809635
7012.6938,0.041651131324150416
7015.8914,0.04793255151686093
7019.0832,0.04101634141489214
7022.283,0.05008354218880534
7025.4847,0.0662957689422324
7028.6806,0.03356804769237971
7031.8782,0.03992102751792205
7035.071,0.04646405027237903
7038.265,0.03456509584429495
7065.9246,0.03869150676711182
7078.5821,0.058823529411764705
7155.268,0.03125
7161.6119,0.0378032153032153
7171.1959,0.07142857142857142
7177.5651,0.025062774829598296
7180.764,0.05337021729935431
7183.9577,0.03561639501901315
7190.3339,0.07785214785214785
7193.5299,0.05363657605827929
7203.072,0.03340768843688754
7225.3637,0.030776515151515152
