time,position_0
1716.2721,1.0
1716.2721,1.0
1719.4713,1.0
1719.4713,1.0
1719.4713,1.0
1719.4713,1.0
1719.4713,1.0
1719.4713,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1725.867,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1729.0598,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1732.2519,1.0
1735.4453,1.0
1735.4453,1.0
1735.4453,1.0
1735.4453,1.0
1735.4453,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1741.7886,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1744.981,1.0
1748.1757,1.0
1748.1757,1.0
1748.1757,1.0
1751.3749,1.0
1751.3749,1.0
1751.3749,1.0
1751.3749,1.0
1751.3749,1.0
1751.3749,1.0
1751.3749,1.0
1751.3749,1.0
1757.7588,1.0
1757.7588,1.0
1757.7588,1.0
1757.7588,1.0
1760.9557,1.0
1760.9557,1.0
1760.9557,1.0
1760.9557,1.0
1764.1562,1.0
1764.1562,1.0
1764.1562,1.0
1764.1562,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1783.1799,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1792.7518,1.0
1795.9462,1.0
1795.9462,1.0
1795.9462,1.0
1795.9462,1.0
1795.9462,1.0
1795.9462,1.0
1795.9462,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1854.2899,1.0
1870.0716,1.0
1903.422,1.0
1903.422,1.0
1903.422,1.0
1903.422,1.0
1903.422,1.0
1903.422,1.0
1962.4682,1.0
1962.4682,1.0
1962.4682,1.0
1962.4682,1.0
1962.4682,1.0
1962.4682,1.0
1962.4682,1.0
5767.171,1.0
5767.171,1.0
5767.171,1.0
5767.171,1.0
5767.171,1.0
5767.171,1.0
5767.171,1.0
5767.171,1.0
5767.171,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5770.366,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5773.5616,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5776.7569,1.0
5783.1463,1.0
5783.1463,1.0
5783.1463,1.0
5783.1463,1.0
5783.1463,1.0
5783.1463,1.0
5783.1463,1.0
5783.1463,1.0
5786.3406,1.0
5786.3406,1.0
5789.5372,1.0
5789.5372,1.0
5789.5372,1.0
5894.74,1.0
5894.74,1.0
5894.74,1.0
5894.74,1.0
5894.74,1.0
5894.74,1.0
5894.74,1.0
5894.74,1.0
5894.74,1.0
5894.74,1.0
5897.9338,1.0
5897.9338,1.0
5897.9338,1.0
5897.9338,1.0
5897.9338,1.0
5897.9338,1.0
5897.9338,1.0
5897.9338,1.0
5897.9338,1.0
5897.9338,1.0
5901.1281,1.0
5901.1281,1.0
5901.1281,1.0
5901.1281,1.0
6843.5018,1.0
6843.5018,1.0
6843.5018,1.0
6843.5018,1.0
6987.1911,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
6999.917,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
7003.1094,1.0
