time,req_id,current_decode_position,memory_freed,running_count_same_position,total_running_count
1716.2721,8909,0,20,14,330
1716.2721,8910,0,20,13,329
1719.4713,8926,0,20,16,328
1719.4713,8924,0,20,18,330
1719.4713,8925,0,20,17,329
1719.4713,8909,0,20,21,333
1719.4713,8910,0,20,20,332
1719.4713,8923,0,20,19,331
1725.8670,8926,0,20,21,327
1725.8670,8942,0,20,20,326
1725.8670,8943,0,20,19,325
1725.8670,8944,0,20,18,324
1725.8670,8945,0,20,17,323
1725.8670,8946,0,20,16,322
1725.8670,8947,0,20,15,321
1725.8670,8948,0,20,14,320
1725.8670,8949,0,20,13,319
1725.8670,8950,0,20,12,318
1725.8670,8951,0,20,11,317
1725.8670,8952,0,20,10,316
1725.8670,8924,0,20,23,329
1725.8670,8925,0,20,22,328
1725.8670,8909,0,20,26,332
1725.8670,8910,0,20,25,331
1725.8670,8923,0,20,24,330
1729.0598,8926,0,20,34,330
1729.0598,8942,0,20,33,329
1729.0598,8943,0,20,32,328
1729.0598,8944,0,20,31,327
1729.0598,8945,0,20,30,326
1729.0598,8946,0,20,29,325
1729.0598,8947,0,20,28,324
1729.0598,8948,0,20,27,323
1729.0598,8949,0,20,26,322
1729.0598,8950,0,20,25,321
1729.0598,8951,0,20,24,320
1729.0598,8952,0,20,23,319
1729.0598,8924,0,20,36,332
1729.0598,8925,0,20,35,331
1729.0598,8909,0,20,39,335
1729.0598,8910,0,20,38,334
1729.0598,8923,0,20,37,333
1732.2519,8926,0,20,40,336
1732.2519,8942,0,20,39,335
1732.2519,8943,0,20,38,334
1732.2519,8944,0,20,37,333
1732.2519,8945,0,20,36,332
1732.2519,8946,0,20,35,331
1732.2519,8947,0,20,34,330
1732.2519,8948,0,20,33,329
1732.2519,8949,0,20,32,328
1732.2519,8950,0,20,31,327
1732.2519,8951,0,20,30,326
1732.2519,8952,0,20,29,325
1732.2519,8924,0,20,42,338
1732.2519,8925,0,20,41,337
1732.2519,8909,0,20,45,341
1732.2519,8910,0,20,44,340
1732.2519,8923,0,20,43,339
1735.4453,8924,0,20,34,334
1735.4453,8925,0,20,33,333
1735.4453,8909,0,20,37,337
1735.4453,8910,0,20,36,336
1735.4453,8923,0,20,35,335
1741.7886,8924,0,20,32,338
1741.7886,8925,0,20,31,337
1741.7886,9032,0,20,30,336
1741.7886,9033,0,20,29,335
1741.7886,9034,0,20,28,334
1741.7886,9035,0,20,27,333
1741.7886,9036,0,20,26,332
1741.7886,9037,0,20,25,331
1741.7886,9038,0,20,24,330
1741.7886,9039,0,20,23,329
1741.7886,9040,0,20,22,328
1741.7886,9041,0,20,21,327
1741.7886,9042,0,20,20,326
1741.7886,8909,0,20,35,341
1741.7886,8910,0,20,34,340
1741.7886,8923,0,20,33,339
1744.9810,8924,0,20,33,340
1744.9810,8925,0,20,32,339
1744.9810,9032,0,20,31,338
1744.9810,9033,0,20,30,337
1744.9810,9034,0,20,29,336
1744.9810,9035,0,20,28,335
1744.9810,9036,0,20,27,334
1744.9810,9037,0,20,26,333
1744.9810,9038,0,20,25,332
1744.9810,9039,0,20,24,331
1744.9810,9040,0,20,23,330
1744.9810,9041,0,20,22,329
1744.9810,9042,0,20,21,328
1744.9810,8909,0,20,36,343
1744.9810,8910,0,20,35,342
1744.9810,8923,0,20,34,341
1748.1757,8909,0,20,33,337
1748.1757,8910,0,20,32,336
1748.1757,8923,0,20,31,335
1751.3749,8909,0,20,21,340
1751.3749,8910,0,20,20,339
1751.3749,8923,0,20,19,338
1751.3749,9099,0,20,18,337
1751.3749,9100,0,20,17,336
1751.3749,9101,0,20,16,335
1751.3749,9102,0,20,15,334
1751.3749,9103,0,20,14,333
1757.7588,9125,0,20,17,334
1757.7588,9126,0,20,16,333
1757.7588,9127,0,20,15,332
1757.7588,9128,0,20,14,331
1760.9557,9125,0,20,22,335
1760.9557,9126,0,20,21,334
1760.9557,9127,0,20,20,333
1760.9557,9128,0,20,19,332
1764.1562,9125,0,20,21,335
1764.1562,9126,0,20,20,334
1764.1562,9127,0,20,19,333
1764.1562,9128,0,20,18,332
1783.1799,9259,0,20,18,334
1783.1799,9260,0,20,17,333
1783.1799,9261,0,20,16,332
1783.1799,9262,0,20,15,331
1783.1799,9263,0,20,14,330
1783.1799,9264,0,20,13,329
1783.1799,9265,0,20,12,328
1783.1799,9252,0,20,25,341
1783.1799,9253,0,20,24,340
1783.1799,9254,0,20,23,339
1783.1799,9255,0,20,22,338
1783.1799,9256,0,20,21,337
1783.1799,9257,0,20,20,336
1783.1799,9258,0,20,19,335
1792.7518,9259,0,20,40,321
1792.7518,9260,0,20,39,320
1792.7518,9261,0,20,38,319
1792.7518,9262,0,20,37,318
1792.7518,9263,0,20,36,317
1792.7518,9264,0,20,35,316
1792.7518,9265,0,20,34,315
1792.7518,9277,0,20,33,314
1792.7518,9278,0,20,32,313
1792.7518,9252,0,20,47,328
1792.7518,9253,0,20,46,327
1792.7518,9254,0,20,45,326
1792.7518,9255,0,20,44,325
1792.7518,9256,0,20,43,324
1792.7518,9257,0,20,42,323
1792.7518,9258,0,20,41,322
1795.9462,9252,0,20,47,331
1795.9462,9253,0,20,46,330
1795.9462,9254,0,20,45,329
1795.9462,9255,0,20,44,328
1795.9462,9256,0,20,43,327
1795.9462,9257,0,20,42,326
1795.9462,9258,0,20,41,325
1854.2899,9585,0,20,63,329
1854.2899,9586,0,20,62,328
1854.2899,9587,0,20,61,327
1854.2899,9588,0,20,60,326
1854.2899,9589,0,20,59,325
1854.2899,9590,0,20,58,324
1854.2899,9591,0,20,57,323
1854.2899,9592,0,20,56,322
1854.2899,9593,0,20,55,321
1854.2899,9594,0,20,54,320
1854.2899,9595,0,20,53,319
1854.2899,9596,0,20,52,318
1854.2899,9597,0,20,51,317
1854.2899,9598,0,20,50,316
1854.2899,9599,0,20,49,315
1854.2899,9600,0,20,48,314
1870.0716,9742,0,20,15,335
1903.4220,9898,0,20,17,330
1903.4220,9899,0,20,16,329
1903.4220,9900,0,20,15,328
1903.4220,9901,0,20,14,327
1903.4220,9902,0,20,13,326
1903.4220,9903,0,20,12,325
1962.4682,10214,0,20,16,321
1962.4682,10215,0,20,15,320
1962.4682,10216,0,20,14,319
1962.4682,10217,0,20,13,318
1962.4682,10218,0,20,12,317
1962.4682,10219,0,20,11,316
1962.4682,10220,0,20,10,315
5767.1710,29457,0,20,22,335
5767.1710,29458,0,20,21,334
5767.1710,29459,0,20,20,333
5767.1710,29460,0,20,19,332
5767.1710,29461,0,20,18,331
5767.1710,29462,0,20,17,330
5767.1710,29463,0,20,16,329
5767.1710,29464,0,20,15,328
5767.1710,29465,0,20,14,327
5770.3660,29482,0,20,13,327
5770.3660,29483,0,20,12,326
5770.3660,29484,0,20,11,325
5770.3660,29485,0,20,10,324
5770.3660,29486,0,20,9,323
5770.3660,29457,0,20,25,339
5770.3660,29458,0,20,24,338
5770.3660,29459,0,20,23,337
5770.3660,29460,0,20,22,336
5770.3660,29461,0,20,21,335
5770.3660,29462,0,20,20,334
5770.3660,29463,0,20,19,333
5770.3660,29464,0,20,18,332
5770.3660,29465,0,20,17,331
5770.3660,29479,0,20,16,330
5770.3660,29480,0,20,15,329
5770.3660,29481,0,20,14,328
5773.5616,29482,0,20,15,324
5773.5616,29483,0,20,14,323
5773.5616,29484,0,20,13,322
5773.5616,29485,0,20,12,321
5773.5616,29486,0,20,11,320
5773.5616,29457,0,20,27,336
5773.5616,29458,0,20,26,335
5773.5616,29459,0,20,25,334
5773.5616,29460,0,20,24,333
5773.5616,29461,0,20,23,332
5773.5616,29462,0,20,22,331
5773.5616,29463,0,20,21,330
5773.5616,29464,0,20,20,329
5773.5616,29465,0,20,19,328
5773.5616,29479,0,20,18,327
5773.5616,29480,0,20,17,326
5773.5616,29481,0,20,16,325
5776.7569,29457,0,20,38,336
5776.7569,29458,0,20,37,335
5776.7569,29459,0,20,36,334
5776.7569,29460,0,20,35,333
5776.7569,29461,0,20,34,332
5776.7569,29462,0,20,33,331
5776.7569,29463,0,20,32,330
5776.7569,29464,0,20,31,329
5776.7569,29465,0,20,30,328
5776.7569,29479,0,20,29,327
5776.7569,29480,0,20,28,326
5776.7569,29481,0,20,27,325
5783.1463,29541,0,20,16,331
5783.1463,29542,0,20,15,330
5783.1463,29543,0,20,14,329
5783.1463,29544,0,20,13,328
5783.1463,29545,0,20,12,327
5783.1463,29546,0,20,11,326
5783.1463,29539,0,20,18,333
5783.1463,29540,0,20,17,332
5786.3406,29539,0,20,22,329
5786.3406,29540,0,20,21,328
5789.5372,29539,0,20,13,327
5789.5372,29540,0,20,12,326
5789.5372,29571,0,20,11,325
5894.7400,30103,0,20,25,330
5894.7400,30104,0,20,24,329
5894.7400,30105,0,20,23,328
5894.7400,30106,0,20,22,327
5894.7400,30107,0,20,21,326
5894.7400,30108,0,20,20,325
5894.7400,30099,0,20,29,334
5894.7400,30100,0,20,28,333
5894.7400,30101,0,20,27,332
5894.7400,30102,0,20,26,331
5897.9338,30103,0,20,18,328
5897.9338,30104,0,20,17,327
5897.9338,30105,0,20,16,326
5897.9338,30106,0,20,15,325
5897.9338,30107,0,20,14,324
5897.9338,30108,0,20,13,323
5897.9338,30099,0,20,22,332
5897.9338,30100,0,20,21,331
