time,batch_id,running_count,waiting_count,swapped_count,gpu_memory_used,memory_utilization,batch_duration,completed_count
0.0000,0,0,1,0,0,0.0000,1.0000,0
1.1500,1,1,9,0,151,0.3020,1.1510,0
2.3010,2,2,8,0,312,0.6240,1.3120,0
3.6130,3,2,8,0,314,0.6280,1.3140,0
4.9270,4,2,8,0,316,0.6320,1.3160,0
6.2430,5,2,8,0,318,0.6360,1.3180,0
7.5610,6,2,8,0,320,0.6400,1.3200,0
8.8810,7,2,8,0,322,0.6440,1.3220,0
10.2030,8,2,8,0,324,0.6480,1.3240,0
11.5270,9,2,8,0,326,0.6520,1.3260,0
12.8530,10,2,8,0,328,0.6560,1.3280,0
14.1810,11,2,8,0,330,0.6600,1.3300,0
15.5110,12,2,8,0,332,0.6640,1.3320,0
16.8430,13,2,8,0,334,0.6680,1.3340,0
18.1770,14,2,8,0,336,0.6720,1.3360,0
19.5130,15,2,8,0,338,0.6760,1.3380,0
20.8510,16,2,8,0,340,0.6800,1.3400,0
22.1910,17,2,8,0,342,0.6840,1.3420,0
23.5330,18,2,8,0,344,0.6880,1.3440,0
24.8770,19,2,8,0,346,0.6920,1.3460,0
26.2230,20,2,8,0,348,0.6960,1.3480,0
27.5710,21,2,8,0,350,0.7000,1.3500,0
28.9210,22,2,8,0,352,0.7040,1.3520,0
30.2730,23,2,8,0,354,0.7080,1.3540,0
31.6270,24,2,8,0,356,0.7120,1.3560,0
32.9830,25,2,8,0,358,0.7160,1.3580,0
34.3410,26,2,8,0,360,0.7200,1.3600,0
35.7010,27,2,8,0,362,0.7240,1.3620,0
37.0630,28,2,8,0,364,0.7280,1.3640,0
38.4270,29,2,8,0,366,0.7320,1.3660,0
39.7930,30,2,7,0,358,0.7160,1.3580,1
41.1510,31,2,7,0,360,0.7200,1.3600,1
42.5110,32,2,6,0,352,0.7040,1.3520,2
43.8630,33,2,6,0,354,0.7080,1.3540,2
45.2170,34,2,6,0,356,0.7120,1.3560,2
46.5730,35,2,6,0,358,0.7160,1.3580,2
47.9310,36,2,6,0,360,0.7200,1.3600,2
49.2910,37,2,6,0,362,0.7240,1.3620,2
50.6530,38,2,6,0,364,0.7280,1.3640,2
52.0170,39,2,6,0,366,0.7320,1.3660,2
53.3830,40,2,6,0,368,0.7360,1.3680,2
54.7510,41,2,6,0,370,0.7400,1.3700,2
56.1210,42,2,6,0,372,0.7440,1.3720,2
57.4930,43,2,6,0,374,0.7480,1.3740,2
58.8670,44,2,6,0,376,0.7520,1.3760,2
60.2430,45,2,6,0,378,0.7560,1.3780,2
61.6210,46,2,6,0,380,0.7600,1.3800,2
63.0010,47,2,6,0,382,0.7640,1.3820,2
64.3830,48,2,6,0,384,0.7680,1.3840,2
65.7670,49,2,6,0,386,0.7720,1.3860,2
67.1530,50,2,6,0,388,0.7760,1.3880,2
68.5410,51,2,6,0,390,0.7800,1.3900,2
69.9310,52,2,6,0,392,0.7840,1.3920,2
71.3230,53,2,6,0,394,0.7880,1.3940,2
72.7170,54,2,6,0,396,0.7920,1.3960,2
74.1130,55,2,6,0,398,0.7960,1.3980,2
75.5110,56,2,6,0,400,0.8000,1.4000,2
76.9110,57,2,6,0,402,0.8040,1.4020,2
78.3130,58,2,6,0,404,0.8080,1.4040,2
79.7170,59,2,6,0,406,0.8120,1.4060,2
81.1230,60,2,5,0,398,0.7960,1.3980,3
82.5210,61,2,5,0,400,0.8000,1.4000,3
83.9210,62,2,4,0,392,0.7840,1.3920,4
85.3130,63,2,4,0,394,0.7880,1.3940,4
86.7070,64,2,4,0,396,0.7920,1.3960,4
88.1030,65,2,4,0,398,0.7960,1.3980,4
89.5010,66,2,4,0,400,0.8000,1.4000,4
