time,batch_id,event,req_id,decode_position,memory_change,gpu_memory_after
0.0000,0,arrival,0,0,0,0
1.1500,1,arrival,1,0,0,151
1.1500,1,arrival,2,0,0,151
1.1500,1,arrival,3,0,0,151
1.1500,1,arrival,4,0,0,151
1.1500,1,arrival,5,0,0,151
1.1500,1,arrival,6,0,0,151
1.1500,1,arrival,7,0,0,151
1.1500,1,arrival,8,0,0,151
1.1500,1,arrival,9,0,0,151
39.7930,30,completion,0,0,0,358
42.5110,32,completion,1,0,0,352
81.1230,60,completion,2,0,0,398
83.9210,62,completion,3,0,0,392
123.6530,90,completion,4,0,0,438
126.5310,92,completion,5,0,0,432
167.3830,120,completion,6,0,0,248
169.8800,122,completion,7,0,0,470
193.6400,138,swap_out,8,16,0,256
211.3150,152,completion,9,0,0,246
228.8500,166,completion,8,0,0,0
