time,position_0
1731.3937,1.0
1731.3937,1.0
1731.3937,1.0
1731.3937,1.0
1731.3937,1.0
1731.3937,1.0
1737.5834,1.0
1737.5834,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5770.0447,1.0
5776.3659,1.0
5776.3659,1.0
5776.3659,1.0
5776.3659,1.0
5776.3659,1.0
5776.3659,1.0
5776.3659,1.0
5776.3659,1.0
5776.3659,1.0
5782.5946,1.0
5782.5946,1.0
7004.7662,1.0
7004.7662,1.0
7004.7662,1.0
7004.7662,1.0
7004.7662,1.0
7004.7662,1.0
7014.1036,1.0
7014.1036,1.0
7014.1036,1.0
7014.1036,1.0
