time,req_id,current_decode_position,memory_freed,running_count_same_position,total_running_count
1731.3937,8942,0,20,66,334
1731.3937,8943,0,20,65,333
1731.3937,8944,0,20,64,332
1731.3937,8945,0,20,63,331
1731.3937,8940,0,20,68,336
1731.3937,8941,0,20,67,335
1737.5834,8940,0,20,42,336
1737.5834,8941,0,20,41,335
5770.0447,29449,0,20,48,332
5770.0447,29450,0,20,47,331
5770.0447,29451,0,20,46,330
5770.0447,29452,0,20,45,329
5770.0447,29453,0,20,44,328
5770.0447,29454,0,20,43,327
5770.0447,29455,0,20,42,326
5770.0447,29456,0,20,41,325
5770.0447,29442,0,20,55,339
5770.0447,29443,0,20,54,338
5770.0447,29444,0,20,53,337
5770.0447,29445,0,20,52,336
5770.0447,29446,0,20,51,335
5770.0447,29447,0,20,50,334
5770.0447,29448,0,20,49,333
5770.0447,29440,0,20,57,341
5770.0447,29441,0,20,56,340
5776.3659,29442,0,20,44,334
5776.3659,29443,0,20,43,333
5776.3659,29444,0,20,42,332
5776.3659,29445,0,20,41,331
5776.3659,29446,0,20,40,330
5776.3659,29447,0,20,39,329
5776.3659,29448,0,20,38,328
5776.3659,29440,0,20,46,336
5776.3659,29441,0,20,45,335
5782.5946,29440,0,20,38,331
5782.5946,29441,0,20,37,330
7004.7662,35775,0,20,50,333
7004.7662,35776,0,20,49,332
7004.7662,35771,0,20,54,337
7004.7662,35772,0,20,53,336
7004.7662,35773,0,20,52,335
7004.7662,35774,0,20,51,334
7014.1036,35771,0,20,44,331
7014.1036,35772,0,20,43,330
7014.1036,35773,0,20,42,329
7014.1036,35774,0,20,41,328
