req_id,arrival_time,prefill_length,decode_length,completion_time,total_delay,waiting_time,execution_time,swap_count,total_swapped_time,sacrifice_count
68,12.2602,20,20,15.2781,3.0179,0.2392,2.7787,0,0.0000,0
69,13.1101,20,20,16.1518,3.0417,0.2918,2.7499,0,0.0000,0
70,13.4002,20,20,16.3273,2.9271,0.1640,2.7630,0,0.0000,0
71,13.4436,20,20,16.4954,3.0518,0.2945,2.7573,0,0.0000,0
72,13.4447,20,20,16.4954,3.0507,0.2934,2.7573,0,0.0000,0
73,13.7760,20,20,16.8016,3.0256,0.2334,2.7922,0,0.0000,0
74,14.0166,20,20,17.1423,3.1257,0.2420,2.8837,0,0.0000,0
75,14.2727,20,20,17.4926,3.2199,0.2514,2.9685,0,0.0000,0
76,14.5619,20,20,17.8596,3.2977,0.2185,3.0792,0,0.0000,0
77,14.5770,20,20,17.8596,3.2826,0.2034,3.0792,0,0.0000,0
78,14.6640,20,20,18.0389,3.3749,0.2442,3.1307,0,0.0000,0
79,14.6882,20,20,18.0389,3.3507,0.2200,3.1307,0,0.0000,0
80,15.0781,20,20,18.6136,3.5355,0.2000,3.3355,0,0.0000,0
81,15.2695,20,20,18.8323,3.5628,0.1207,3.4421,0,0.0000,0
82,15.3483,20,20,19.0452,3.6969,0.1646,3.5323,0,0.0000,0
83,15.3612,20,20,19.0452,3.6840,0.1517,3.5323,0,0.0000,0
84,15.4342,20,20,19.2457,3.8115,0.2190,3.5925,0,0.0000,0
85,15.5113,20,20,19.2457,3.7344,0.1419,3.5925,0,0.0000,0
86,15.7678,20,20,19.6411,3.8733,0.2079,3.6654,0,0.0000,0
87,15.9668,20,20,19.8694,3.9026,0.1850,3.7176,0,0.0000,0
88,16.3947,20,20,20.5686,4.1739,0.2480,3.9259,0,0.0000,0
89,16.5200,20,20,20.8155,4.2955,0.2816,4.0139,0,0.0000,0
90,16.5450,20,20,20.8155,4.2705,0.2566,4.0139,0,0.0000,0
91,16.7899,20,20,21.0508,4.2609,0.1759,4.0850,0,0.0000,0
92,17.0704,20,20,21.5246,4.4542,0.2410,4.2133,0,0.0000,0
93,17.2319,20,20,21.7766,4.5447,0.2607,4.2840,0,0.0000,0
94,17.5209,20,20,22.2847,4.7638,0.3387,4.4251,0,0.0000,0
95,17.6544,20,20,22.2847,4.6303,0.2052,4.4251,0,0.0000,0
96,17.7994,20,20,22.5344,4.7350,0.2395,4.4955,0,0.0000,0
97,17.9088,20,20,22.7854,4.8766,0.2956,4.5810,0,0.0000,0
98,17.9139,20,20,22.7854,4.8715,0.2905,4.5810,0,0.0000,0
99,17.9362,20,20,22.7854,4.8492,0.2682,4.5810,0,0.0000,0
100,17.9425,20,20,22.7854,4.8429,0.2619,4.5810,0,0.0000,0
101,18.1409,20,20,22.9916,4.8507,0.2614,4.5893,0,0.0000,0
102,18.2149,20,20,23.2180,5.0031,0.3987,4.6043,0,0.0000,0
103,18.3542,20,20,23.2180,4.8638,0.2594,4.6043,0,0.0000,0
104,18.8211,20,20,23.6601,4.8390,0.2241,4.6149,0,0.0000,0
105,18.8773,20,20,23.8823,5.0050,0.3684,4.6366,0,0.0000,0
106,18.9809,20,20,23.8823,4.9014,0.2648,4.6366,0,0.0000,0
107,19.2571,20,20,24.3424,5.0853,0.3840,4.7013,0,0.0000,0
108,19.3081,20,20,24.3424,5.0343,0.3330,4.7013,0,0.0000,0
109,19.3238,20,20,24.3424,5.0186,0.3173,4.7013,0,0.0000,0
110,19.3909,20,20,24.3424,4.9515,0.2502,4.7013,0,0.0000,0
111,19.4253,20,20,24.3424,4.9171,0.2158,4.7013,0,0.0000,0
112,19.9459,20,20,24.9687,5.0228,0.3775,4.6453,0,0.0000,0
113,20.2696,20,20,25.1966,4.9270,0.2990,4.6280,0,0.0000,0
114,20.4664,20,20,25.4192,4.9528,0.3491,4.6037,0,0.0000,0
115,20.8686,20,20,25.8872,5.0186,0.4121,4.6066,0,0.0000,0
116,21.1878,20,20,26.1197,4.9319,0.3368,4.5950,0,0.0000,0
117,21.2283,20,20,26.1197,4.8914,0.2963,4.5950,0,0.0000,0
118,21.6657,20,20,26.5673,4.9016,0.3577,4.5438,0,0.0000,0
119,21.8177,20,20,26.7885,4.9708,0.4670,4.5038,0,0.0000,0
120,22.1407,20,20,27.0168,4.8761,0.3937,4.4824,0,0.0000,0
121,22.5847,20,20,27.5297,4.9450,0.4069,4.5381,0,0.0000,0
122,22.6598,20,20,27.5297,4.8699,0.3318,4.5381,0,0.0000,0
123,22.6826,20,20,27.5297,4.8471,0.3090,4.5381,0,0.0000,0
124,22.7333,20,20,27.5297,4.7964,0.2583,4.5381,0,0.0000,0
125,22.8426,20,20,27.7695,4.9269,0.3754,4.5515,0,0.0000,0
126,23.1766,20,20,28.0042,4.8276,0.2556,4.5720,0,0.0000,0
127,23.5632,20,20,28.5180,4.9548,0.3191,4.6357,0,0.0000,0
128,23.5646,20,20,28.5180,4.9534,0.3177,4.6357,0,0.0000,0
129,23.7047,20,20,28.7648,5.0601,0.3941,4.6661,0,0.0000,0
130,23.8107,20,20,28.7648,4.9541,0.2881,4.6661,0,0.0000,0
131,23.8599,20,20,28.7648,4.9049,0.2389,4.6661,0,0.0000,0
132,23.8849,20,20,28.9803,5.0954,0.4575,4.6379,0,0.0000,0
133,23.9657,20,20,28.9803,5.0146,0.3767,4.6379,0,0.0000,0
134,24.5271,20,20,29.4135,4.8864,0.2213,4.6651,0,0.0000,0
135,24.6037,20,20,29.6312,5.0275,0.3650,4.6626,0,0.0000,0
136,24.7471,20,20,29.6312,4.8841,0.2216,4.6626,0,0.0000,0
137,24.9851,20,20,30.0756,5.0905,0.4341,4.6565,0,0.0000,0
138,25.0738,20,20,30.0756,5.0018,0.3454,4.6565,0,0.0000,0
139,25.7733,20,20,30.7867,5.0134,0.3464,4.6670,0,0.0000,0
140,26.4169,20,20,31.6255,5.2086,0.3716,4.8370,0,0.0000,0
141,26.4737,20,20,31.6255,5.1518,0.3148,4.8370,0,0.0000,0
142,26.6086,20,20,31.9376,5.3290,0.4082,4.9208,0,0.0000,0
143,26.6787,20,20,31.9376,5.2589,0.3381,4.9208,0,0.0000,0
144,26.7445,20,20,31.9376,5.1931,0.2723,4.9208,0,0.0000,0
145,26.7519,20,20,31.9376,5.1857,0.2649,4.9208,0,0.0000,0
146,26.9363,20,20,32.2209,5.2846,0.3296,4.9550,0,0.0000,0
147,27.0732,20,20,32.5142,5.4410,0.4565,4.9845,0,0.0000,0
148,27.0836,20,20,32.5142,5.4306,0.4461,4.9845,0,0.0000,0
149,27.1476,20,20,32.5142,5.3666,0.3821,4.9845,0,0.0000,0
150,27.6160,20,20,33.0776,5.4616,0.3882,5.0734,0,0.0000,0
151,27.6697,20,20,33.0776,5.4079,0.3345,5.0734,0,0.0000,0
152,27.7004,20,20,33.0776,5.3772,0.3038,5.0734,0,0.0000,0
153,27.8322,20,20,33.3481,5.5159,0.4214,5.0946,0,0.0000,0
154,28.6644,20,20,34.2096,5.5452,0.3159,5.2293,0,0.0000,0
155,28.7188,20,20,34.2096,5.4908,0.2615,5.2293,0,0.0000,0
156,28.9374,20,20,34.5054,5.5680,0.2526,5.3154,0,0.0000,0
157,29.2186,20,20,35.1469,5.9283,0.4126,5.5157,0,0.0000,0
158,29.2718,20,20,35.1469,5.8751,0.3594,5.5157,0,0.0000,0
159,29.5272,20,20,35.4674,5.9402,0.3160,5.6242,0,0.0000,0
160,29.6171,20,20,35.4674,5.8503,0.2261,5.6242,0,0.0000,0
161,29.8133,20,20,35.7785,5.9652,0.2623,5.7029,0,0.0000,0
162,30.0101,20,20,36.0932,6.0831,0.2861,5.7970,0,0.0000,0
163,30.1606,20,20,36.4248,6.2642,0.3703,5.8939,0,0.0000,0
164,30.1791,20,20,36.4248,6.2457,0.3518,5.8939,0,0.0000,0
165,30.5328,20,20,37.0872,6.5544,0.5049,6.0494,0,0.0000,0
166,30.6086,20,20,37.0872,6.4786,0.4291,6.0494,0,0.0000,0
167,30.6491,20,20,37.0872,6.4381,0.3886,6.0494,0,0.0000,0
168,30.6573,20,20,37.0872,6.4299,0.3804,6.0494,0,0.0000,0
169,30.8325,20,20,37.3849,6.5524,0.4911,6.0613,0,0.0000,0
170,31.0545,20,20,37.6922,6.6377,0.5710,6.0667,0,0.0000,0
171,31.0577,20,20,37.6922,6.6345,0.5678,6.0667,0,0.0000,0
172,31.1985,20,20,37.6922,6.4937,0.4270,6.0667,0,0.0000,0
173,31.2488,20,20,37.6922,6.4434,0.3767,6.0667,0,0.0000,0
174,31.4520,20,20,37.9768,6.5248,0.4856,6.0392,0,0.0000,0
175,31.4896,20,20,37.9768,6.4872,0.4480,6.0392,0,0.0000,0
176,31.7198,20,20,38.2444,6.5246,0.5011,6.0235,0,0.0000,0
177,31.8157,20,20,38.2444,6.4287,0.4052,6.0235,0,0.0000,0
178,32.3569,20,20,38.8207,6.4638,0.4211,6.0427,0,0.0000,0
179,32.3859,20,20,38.8207,6.4348,0.3921,6.0427,0,0.0000,0
180,32.4677,20,20,38.8207,6.3530,0.3103,6.0427,0,0.0000,0
181,32.4913,20,20,38.8207,6.3294,0.2867,6.0427,0,0.0000,0
182,32.9984,20,20,39.3777,6.3793,0.3497,6.0296,0,0.0000,0
183,33.4099,20,20,40.0007,6.5908,0.4943,6.0965,0,0.0000,0
184,33.4684,20,20,40.0007,6.5323,0.4358,6.0965,0,0.0000,0
185,33.6799,20,20,40.3186,6.6387,0.5297,6.1090,0,0.0000,0
186,34.0131,20,20,40.6406,6.6275,0.4923,6.1352,0,0.0000,0
187,34.1720,20,20,40.6406,6.4686,0.3334,6.1352,0,0.0000,0
188,34.3199,20,20,40.9604,6.6405,0.4912,6.1493,0,0.0000,0
189,34.3741,20,20,40.9604,6.5863,0.4370,6.1493,0,0.0000,0
190,34.3933,20,20,40.9604,6.5671,0.4178,6.1493,0,0.0000,0
191,34.8394,20,20,41.6067,6.7673,0.6280,6.1394,0,0.0000,0
192,35.2917,20,20,41.9400,6.6483,0.4868,6.1614,0,0.0000,0
193,35.4883,20,20,42.2844,6.7961,0.6049,6.1912,0,0.0000,0
194,35.5695,20,20,42.2844,6.7149,0.5237,6.1912,0,0.0000,0
195,35.6537,20,20,42.2844,6.6307,0.4395,6.1912,0,0.0000,0
196,35.9075,20,20,42.6007,6.6932,0.5173,6.1758,0,0.0000,0
197,36.3535,20,20,42.9275,6.5740,0.3940,6.1800,0,0.0000,0
198,36.7811,20,20,43.6340,6.8529,0.6038,6.2491,0,0.0000,0
199,37.0779,20,20,43.6340,6.5561,0.3070,6.2491,0,0.0000,0
200,37.2793,20,20,44.0085,6.7292,0.4129,6.3163,0,0.0000,0
201,37.2966,20,20,44.0085,6.7119,0.3956,6.3163,0,0.0000,0
202,37.3311,20,20,44.0085,6.6774,0.3611,6.3163,0,0.0000,0
203,37.7798,20,20,44.7419,6.9621,0.4646,6.4974,0,0.0000,0
204,37.9627,20,20,44.7419,6.7792,0.2817,6.4974,0,0.0000,0
205,37.9645,20,20,44.7419,6.7774,0.2799,6.4974,0,0.0000,0
206,37.9854,20,20,45.0937,7.1083,0.5292,6.5790,0,0.0000,0
207,38.1990,20,20,45.0937,6.8947,0.3156,6.5790,0,0.0000,0
208,38.2000,20,20,45.0937,6.8937,0.3146,6.5790,0,0.0000,0
209,38.2344,20,20,45.0937,6.8593,0.2802,6.5790,0,0.0000,0
210,38.3904,20,20,45.4109,7.0205,0.4303,6.5902,0,0.0000,0
211,38.6212,20,20,45.7253,7.1041,0.4700,6.6341,0,0.0000,0
212,38.8282,20,20,46.0566,7.2284,0.5495,6.6789,0,0.0000,0
213,38.8780,20,20,46.0566,7.1786,0.4997,6.6789,0,0.0000,0
214,39.1222,20,20,46.3722,7.2500,0.5520,6.6981,0,0.0000,0
215,39.1753,20,20,46.3722,7.1969,0.4989,6.6981,0,0.0000,0
216,39.2525,20,20,46.3722,7.1197,0.4217,6.6981,0,0.0000,0
217,39.5216,20,20,46.6719,7.1503,0.4791,6.6712,0,0.0000,0
218,39.7272,20,20,46.9680,7.2408,0.5914,6.6494,0,0.0000,0
219,40.0982,20,20,47.2670,7.1688,0.5424,6.6264,0,0.0000,0
220,40.3083,20,20,47.2670,6.9587,0.3323,6.6264,0,0.0000,0
221,40.4730,20,20,47.5490,7.0760,0.4874,6.5886,0,0.0000,0
222,40.4923,20,20,47.5490,7.0567,0.4681,6.5886,0,0.0000,0
223,40.5822,20,20,47.5490,6.9668,0.3782,6.5886,0,0.0000,0
224,40.6426,20,20,47.8071,7.1645,0.6290,6.5355,0,0.0000,0
225,40.6975,20,20,47.8071,7.1096,0.5741,6.5355,0,0.0000,0
226,41.4058,20,20,48.3212,6.9154,0.5342,6.3813,0,0.0000,0
227,41.5037,20,20,48.3212,6.8175,0.4363,6.3813,0,0.0000,0
228,41.9402,20,20,48.8485,6.9083,0.6605,6.2478,0,0.0000,0
229,42.1357,20,20,48.8485,6.7128,0.4650,6.2478,0,0.0000,0
230,42.4463,20,20,49.1152,6.6689,0.4812,6.1877,0,0.0000,0
231,42.5832,20,20,49.1152,6.5320,0.3443,6.1877,0,0.0000,0
232,42.7519,20,20,49.3640,6.6121,0.5133,6.0987,0,0.0000,0
233,42.8849,20,20,49.3640,6.4791,0.3803,6.0987,0,0.0000,0
234,42.9275,20,20,49.3640,6.4365,0.3377,6.0987,0,0.0000,0
235,43.1788,20,20,49.5878,6.4090,0.4552,5.9538,0,0.0000,0
236,43.2434,20,20,49.5878,6.3444,0.3906,5.9538,0,0.0000,0
237,43.2483,20,20,49.5878,6.3395,0.3857,5.9538,0,0.0000,0
238,43.4516,20,20,49.7994,6.3478,0.5569,5.7909,0,0.0000,0
239,43.4898,20,20,49.7994,6.3096,0.5187,5.7909,0,0.0000,0
240,44.0430,20,20,50.2044,6.1614,0.6989,5.4626,0,0.0000,0
241,44.6464,20,20,50.4039,5.7575,0.4473,5.3102,0,0.0000,0
242,45.1294,20,20,50.8022,5.6728,0.5959,5.0770,0,0.0000,0
243,45.2201,20,20,50.8022,5.5821,0.5052,5.0770,0,0.0000,0
244,45.2231,20,20,50.8022,5.5791,0.5022,5.0770,0,0.0000,0
245,45.7399,20,20,51.1804,5.4405,0.6323,4.8082,0,0.0000,0
246,45.8495,20,20,51.1804,5.3309,0.5227,4.8082,0,0.0000,0
247,46.5163,20,20,51.5435,5.0272,0.4517,4.5755,0,0.0000,0
248,47.1661,20,20,51.9236,4.7575,0.3829,4.3746,0,0.0000,0
249,47.5421,20,20,52.1196,4.5775,0.2650,4.3125,0,0.0000,0
250,47.6104,20,20,52.3219,4.7115,0.4432,4.2683,0,0.0000,0
251,47.7058,20,20,52.3219,4.6161,0.3478,4.2683,0,0.0000,0
