time,position_0,position_1,position_4
1716.2721,0.07417582417582418,0.0,0.0
1719.4713,0.054521618588956045,0.0,0.0
1722.6663,0.22121526621526627,0.06904761904761905,0.0
1725.86,0.056616970546107544,0.0,0.0
1729.0521,0.03310175227759418,0.0,0.0
1732.2436,0.027516298622644354,0.0,0.0
1735.4364,0.028234469643138378,0.0,0.0
1738.633,0.07319707382400881,0.0,0.0
1741.8254,0.0504966540809635,0.0,0.0
1745.0194,0.03552038627517554,0.0,0.0
1748.2157,0.030805714881260424,0.0,0.0
1751.4165,0.056742166120391097,0.0,0.0
1757.8103,0.06726836888601595,0.0,0.0
1761.0092,0.04912316474101371,0.0,0.0
1764.2048,0.047836686578105345,0.0,0.0
1767.404,0.05,0.0,0.0
1780.0553,0.05008354218880534,0.0,0.0
1783.2535,0.060320674249811246,0.0,0.0
1789.6442,0.09465039523814678,0.0,0.0
1792.8366,0.027080894872766523,0.0,0.0
1796.0329,0.022066229939304908,0.0,0.0
1845.1452,0.2928968253968254,0.0596579860014181,0.0
1851.5298,0.3143298059964727,0.0,0.08451881451881452
1854.727,0.019969486693397466,0.0,0.0
1857.921,0.01451309777782572,0.0,0.0
1861.1196,0.044466403162055336,0.0,0.0
1864.3168,0.0480579507303927,0.0,0.0
1867.5128,0.04296463701355006,0.0,0.0
1870.7078,0.0806087876529726,0.0,0.0
1917.978,0.013039967690477165,0.0,0.0
1963.8631,0.37040816326530607,0.1075809992476659,0.0
5767.171,0.056742166120391097,0.0,0.0
5770.366,0.06459417852331553,0.0,0.0
5773.5616,0.05661697054610755,0.0,0.0
5776.7569,0.031123524756692084,0.0,0.0
5783.1463,0.07076747802850744,0.0,0.0
5786.3406,0.046536796536796536,0.0,0.0
5789.5372,0.08372183372183373,0.0,0.0
5894.74,0.041391414044337584,0.0,0.0
5897.9338,0.05876025720065967,0.0,0.0
5901.1281,0.0378032153032153,0.0,0.0
6843.5018,0.07458791208791209,0.0,0.0
6987.1911,0.058823529411764705,0.0,0.0
6996.7508,0.11210005272505272,0.0,0.0
6999.9506,0.10378860728296167,0.0,0.0
7003.1446,0.041651131324150416,0.0,0.0
7006.3393,0.030998535593253423,0.0,0.0
7009.5359,0.05149752254723062,0.0,0.0
7012.7338,0.043545070718089815,0.0,0.0
7015.9262,0.04562840405142315,0.0,0.0
7019.1193,0.04101634141489214,0.0,0.0
7022.3204,0.050252145515303416,0.0,0.0
7025.5167,0.06049928027037521,0.0,0.0
7028.7136,0.03426725344309534,0.0,0.0
7031.9054,0.03833372593062046,0.0,0.0
7035.0988,0.04646405027237903,0.0,0.0
7038.2935,0.03456509584429495,0.0,0.0
7062.7335,0.104304822161965,0.0,0.0
7065.932,0.05168070949804696,0.0,0.0
7078.6064,0.06066176470588235,0.0,0.0
7152.1402,0.08202281230356098,0.0,0.0
7155.3377,0.04,0.0,0.0
7158.5385,0.09787943537943537,0.0,0.0
7161.7344,0.052925942306747256,0.0,0.0
7171.3201,0.07417582417582418,0.0,0.0
7174.5164,0.07755082813857969,0.0,0.0
7177.7123,0.028355590801598496,0.0,0.0
7180.9102,0.0533702172993543,0.0,0.0
7184.1026,0.03455328189838315,0.0,0.0
7190.4821,0.06988830937958436,0.0,0.0
7193.6761,0.04646405027237903,0.0,0.0
7196.8724,0.028287230437481985,0.0,0.0
7200.0668,0.06459417852331553,0.0,0.0
7203.2643,0.040658861252428104,0.0,0.0
7206.459,0.051680709498046956,0.0,0.0
7209.6572,0.05563615808918003,0.0,0.0
7212.8516,0.032831039117538,0.0,0.0
7216.0504,0.23225445189730906,0.037070953737620406,0.0
7219.2432,0.028234469643138374,0.0,0.0
7222.4398,0.23225445189730906,0.031754032258064516,0.0
7225.6367,0.04236038763797043,0.0,0.0
7228.8346,0.03426725344309534,0.0,0.0
7232.0276,0.04553683714478123,0.0,0.0
7235.2223,0.06776229121531314,0.0,0.0
7238.4173,0.24462567347182732,0.14484126984126985,0.0
7241.6152,0.020270450041516966,0.0,0.0
7244.815,0.08279293628729069,0.0,0.0
7248.0084,0.03183982524651078,0.0,0.0
7257.4139,0.05272904483430799,0.0,0.0
7279.032,0.07722832722832723,0.0,0.0
7285.2825,0.1067550505050505,0.0,0.0
7297.9594,0.128929908475363,0.0,0.0
7708.6798,0.04583572850817048,0.0,0.0
7711.88,0.0508087855798805,0.0,0.0
7715.0746,0.03137291143578475,0.0,0.0
7718.2722,0.045517284647719425,0.0,0.0
7724.6715,0.06420692358514854,0.0,0.0
7727.8658,0.06350413984757194,0.0,0.0
7731.0621,0.0651264046176796,0.0,0.0
7793.5832,0.05567022130489622,0.0,0.0
7806.0676,0.04880952380952381,0.0,0.0
7809.2693,0.07882296275153418,0.0,0.0
7812.4665,0.05050893112254957,0.0,0.0
7815.6657,0.04432895602960092,0.0,0.0
7818.8604,0.04,0.0,0.0
7822.0582,0.2928968253968254,0.0,0.0
